问题,回答,类型
员工弄丢公司财物需赔偿，每月最多能扣他当月工资的百分之几，才不低于最低工资？,20.00%,知识库存在
2025年哪些省市已官宣上调最低工资？,2025 年已发布/将发布新标准且已官宣的省份（含直辖市）：北京、上海、天津、广东（含深圳）、江苏、福建、江西、河南、辽宁、黑龙江、吉林、广西、贵州、安徽、宁夏、山东、云南、西藏等。,知识库存在
在成都市打工，最低能拿多少月薪？,成都市:一类：2330元（每日107元）；二类：2200元（每日101元）。,知识库存在
目前上海月最低工资线是多少？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
2024年上海执行的最低工资是多少？,上海最低工资标准：全日制月最低工资2690元，非全日制小时工资24元/小时,知识库存在
请把上海近3年最低工资变化列成一行表格。,2023年2690元，2024年2690元，2025年2740元,知识库存在
深圳现行月最低工资是多少元？,2520元,知识库存在
广东一类到四类城市的最低工资分别是多少？,广东：一类：2500元；二类：2080元；三类：1850元；四类：1750元，其中深圳：2520元。,知识库存在
广东省最新最低工资分档政策怎么规定？,广东：一类：2500元；二类：2080元；三类：1850元；四类：1750元，其中深圳：2520元。,知识库存在
上海员工医疗期满仍病休，最少能拿最低工资的多少？,上海医疗期结束后仍需继续病休的，可执行“疾病救济费”，但不得低于本市最低工资的 80%。,知识库存在
上海目前法定月最低工资和小时最低工资各是多少？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
四川一类、二类地区最低工资分别是多少？,一类：2330元（每日107元）；二类：2200元（每日101元）,知识库存在
苏州当前月最低工资是多少？,2490元,知识库存在
加班费的计算底线必须不低于哪条法规里的最低工资？,《工资支付暂行规定》第十三条、人社部〔2015〕8 号文：加班基数不得低于当地最低工资标准。,知识库存在
病假工资直接按最低工资的80%发，合规吗？,可以,知识库存在
工龄不到2年，病假工资打6折后仍低于最低工资80%，要托底到80%吗？,是。若按 60% 计发后低于最低工资 80%，应兜底至 80%。,知识库存在
离职补偿的“月均工资”比最低工资低，要以最低工资为基数算吗？,需要。经济补偿金的“月工资”低于当地最低工资时，按最低工资为基数计算。,知识库存在
今年上海月最低工资涨到了多少？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
